Gene_name	Species_name	GC_Stretch
ADRA1B	Ursus_arctos	5.1219512195122
ADRA1B	Nestor_notabilis	3.4375
ADRA1B	Pezoporus_wallicus	3.52380952380952
ADRA1B	Lepidothrix_coronata	3.51948051948052
ADRA1B	Cariama_cristata	3.52307692307692
ADRA1B	Cyanistes_caeruleus	4.04950495049505
ADRA1B	Rattus_norvegicus	4.65254237288136
ADRA1B	Vicugna_pacos	4.21875
ADRA1B	Myotis_brandtii	4.04938271604938
ADRA1B	Mustela_erminea	4.80769230769231
ADRA1B	Bubalus_kerabau	5.1025641025641
ADRA1B	Pelodiscus_sinensis	3.64285714285714
ADRA1B	Mustela_putorius_furo	4.88976377952756
ADRA1B	Desmodus_rotundus	4.73282442748092
ADRA1B	Ceratotherium_simum_simum	5.22033898305085
ADRA1B	Colobus_angolensis_palliatus	4.05797101449275
ADRA1B	Arvicola_amphibius	4.4
ADRA1B	Phacochoerus_africanus	4.95121951219512
ADRA1B	Elephantulus_edwardii	4.73015873015873
ADRA1B	Falco_naumanni	3.5
ADRA1B	Zonotrichia_albicollis	4.4040404040404
ADRA1B	Indicator_indicator	3.32786885245902
ADRA1B	Mus_pahari	4.49193548387097
ADRA1B	Spea_bombifrons	3.42
ADRA1B	Myotis_yumanensis	5.04
ADRA1B	Equus_przewalskii	5.22764227642276
ADRA1B	Sarcophilus_harrisii	3.76923076923077
ADRA1B	Choloepus_didactylus	4.86885245901639
ADRA1B	Lathamus_discolor	3.49206349206349
ADRA1B	Pan_troglodytes	4.97637795275591
ADRA1B	Panthera_tigris	5.16260162601626
ADRA1B	Egretta_garzetta	3.56060606060606
ADRA1B	Cynocephalus_volans	5.064
ADRA1B	Melospiza_melodia_melodia	4.41
ADRA1B	Pelobates_fuscus	3.42857142857143
ADRA1B	Pseudophryne_corroboree	3.41269841269841
ADRA1B	Miniopterus_natalensis	4.13432835820895
ADRA1B	Grammomys_surdaster	4.43650793650794
ADRA1B	Chelonia_mydas	3.546875
ADRA1B	Panthera_pardus	5.08
ADRA1B	Marmota_marmota_marmota	4.24615384615385
ADRA1B	Calidris_pugnax	3.52727272727273
ADRA1B	Cebus_imitator	5.26229508196721
ADRA1B	Xenopus_tropicalis	3.67796610169492
ADRA1B	Rhea_pennata	3.43283582089552
ADRA1B	Cygnus_atratus	3.59016393442623
ADRA1B	Lonchura_striata	4.27272727272727
