Gene_name	Class	Order	Species_name	Unaligned_region	Gene_length	Normalized_value	left_gene
CYYR1	Aves	Passeriformes	Serinus_canaria	128903	199377	0.646529 APP	APP
CYYR1	Lepidosauria	Sphenodontia	Sphenodon_punctatus	14898	199377	0.0747228 APP	APP
CYYR1	Aves	Psittaciformes	Strigops_habroptila	164082	199377	0.822974 APP	APP
CYYR1	Aves	Struthioniformes	Struthio_camelus	168242	199377	0.843839 APP	APP
CYYR1	Aves	Passeriformes	Taeniopygia_guttata	96649	199377	0.484755 APP	APP
CYYR1	Reptilia	Testudines	Terrapene_carolina	53359	199377	0.267629 APP	APP
DIP2A	Aves	Anseriformes	Anas_platyrhynchos	3969	4230	0.938298 S100B	S100B
DIP2A	Lepidosauria	Squamata	Anolis_carolinensis	344	4230	0.0813239 S100B	S100B
DIP2A	Lepidosauria	Squamata	Anolis_sagrei	290	4230	0.0685579 S100B	S100B
DIP2A	Aves	Anseriformes	Anser_brachyrhynchus	4230	4230	1 S100B	S100B
DIP2A	Aves	Accipitriformes	Aquila_chrysaetos	2905	4230	0.686761 S100B	S100B
DIP2A	Reptilia	Testudines	Chelonoidis_abingdonii	966	4230	0.228369 S100B	S100B
DIP2A	Reptilia	Testudines	Chrysemys_picta	3817	4230	0.902364 S100B	S100B
DIP2A	Aves	Galliformes	Coturnix_japonica	4230	4230	1 S100B	S100B
DIP2A	Reptilia	Crocodylia	Crocodylus_porosus	923	4230	0.218203 S100B	S100B
DIP2A	Lepidosauria	Squamata	Eublepharis_macularius	319	4230	0.0754137 S100B	S100B
DIP2A	Lepidosauria	Squamata	Euleptes_europaea	270	4230	0.0638298 S100B	S100B
DIP2A	Aves	Passeriformes	Ficedula_albicollis	1520	4230	0.359338 S100B	S100B
DIP2A	Aves	Passeriformes	Geospiza_fortis	1858	4230	0.439243 S100B	S100B
DIP2A	Reptilia	Testudines	Gopherus_evgoodei	1006	4230	0.237825 S100B	S100B
DIP2A	Lepidosauria	Squamata	Laticauda_laticaudata	252	4230	0.0595745 S100B	S100B
DIP2A	Actinistia	Coelacanthiformes	Latimeria_chalumnae	328	4230	0.0775414 S100B	S100B
DIP2A	Aves	Galliformes	Meleagris_gallopavo	3954	4230	0.934752 S100B	S100B
DIP2A	Lepidosauria	Squamata	Naja_naja	305	4230	0.072104 S100B	S100B
DIP2A	Lepidosauria	Squamata	Notechis_scutatus	252	4230	0.0595745 S100B	S100B
DIP2A	Aves	Passeriformes	Parus_major	494	4230	0.116785 S100B	S100B
DIP2A	Reptilia	Testudines	Pelodiscus_sinensis	846	4230	0.2 S100B	S100B
DIP2A	Lepidosauria	Squamata	Podarcis_muralis	344	4230	0.0813239 S100B	S100B
DIP2A	Lepidosauria	Squamata	Podarcis_raffonei	288	4230	0.0680851 S100B	S100B
DIP2A	Lepidosauria	Squamata	Pogona_vitticeps_zw	317	4230	0.0749409 S100B	S100B
DIP2A	Lepidosauria	Squamata	Pogona_vitticeps_zz	355	4230	0.0839243 S100B	S100B
DIP2A	Lepidosauria	Squamata	Pseudonaja_textilis	273	4230	0.064539 S100B	S100B
DIP2A	Lepidosauria	Squamata	Rhineura_floridana	275	4230	0.0650118 S100B	S100B
DIP2A	Lepidosauria	Squamata	Salvator_merianae	256	4230	0.0605201 S100B	S100B
DIP2A	Aves	Passeriformes	Serinus_canaria	1902	4230	0.449645 S100B	S100B
DIP2A	Lepidosauria	Sphenodontia	Sphenodon_punctatus	251	4230	0.0593381 S100B	S100B
DIP2A	Aves	Psittaciformes	Strigops_habroptila	2776	4230	0.656265 S100B	S100B
DIP2A	Aves	Struthioniformes	Struthio_camelus	1323	4230	0.312766 S100B	S100B
DIP2A	Aves	Passeriformes	Taeniopygia_guttata	2088	4230	0.493617 S100B	S100B
DIP2A	Reptilia	Testudines	Terrapene_carolina	882	4230	0.208511 S100B	S100B
DLEU7	Aves	Anseriformes	Anas_platyrhynchos	0	3433	0 LOC121107650	LOC121107650
DLEU7	Lepidosauria	Squamata	Anolis_carolinensis	0	3433	0 LOC121107650	LOC121107650
DLEU7	Lepidosauria	Squamata	Anolis_sagrei	0	3433	0 LOC121107650	LOC121107650
DLEU7	Aves	Anseriformes	Anser_brachyrhynchus	3398	3433	0.989805 LOC121107650	LOC121107650
DLEU7	Aves	Accipitriformes	Aquila_chrysaetos	1440	3433	0.419458 LOC121107650	LOC121107650
